4,7,5,1,10,8,14,13,9,12,16,11,6,15,3,2
11,15,13,14,9,6,4,16,3,2,7,8,10,12,1,5
12,2,8,16,15,1,3,11,13,10,5,6,9,14,4,7
9,10,3,6,2,12,5,7,15,4,14,1,16,13,11,8
16,14,6,15,8,5,13,4,7,11,1,3,12,9,2,10
13,9,2,12,4,3,1,14,11,8,10,15,7,5,6,16
3,13,12,5,1,7,6,10,8,15,9,2,14,11,16,4
8,16,4,7,13,9,11,3,1,14,15,10,2,6,5,12
14,12,1,2,7,11,8,6,4,13,3,16,5,10,15,9
15,8,16,9,6,10,7,1,2,5,11,13,3,4,12,14
7,1,9,11,3,14,2,12,6,16,4,5,15,8,10,13
6,11,14,3,5,16,12,2,10,9,8,7,4,1,13,15
2,5,11,10,14,4,16,15,12,7,6,9,13,3,8,1
5,4,15,8,11,2,10,9,16,3,13,12,1,7,14,6
1,3,10,13,16,15,9,5,14,6,12,4,8,2,7,11
10,6,7,4,12,13,15,8,5,1,2,14,11,16,9,3
10,5,15,2,12,4,6,11,8,14,9,13,3,1,7,16
9,14,11,13,1,3,16,15,7,12,10,2,5,8,6,4
8,7,6,4,2,9,14,5,1,16,3,15,12,11,13,10
3,12,1,16,10,8,7,13,5,11,4,6,2,14,9,15
13,16,2,9,4,1,3,7,12,8,14,10,11,5,15,6
6,11,16,1,5,12,4,10,2,15,7,8,13,9,3,14
4,15,9,14,11,6,8,2,13,7,1,3,16,10,5,12
16,10,12,15,6,11,13,8,4,3,5,14,9,7,1,2
11,2,7,5,14,13,15,12,9,10,6,1,4,16,8,3
2,4,10,7,3,5,12,9,11,6,13,16,8,15,14,1
14,3,4,10,7,2,11,1,15,9,8,12,6,13,16,5
7,6,3,11,8,15,5,14,16,13,2,4,1,12,10,9
15,9,5,6,13,16,2,3,14,1,11,7,10,4,12,8
1,8,13,3,16,14,9,4,10,2,12,5,15,6,11,7
5,1,8,12,9,7,10,16,6,4,15,11,14,3,2,13
12,13,14,8,15,10,1,6,3,5,16,9,7,2,4,11
